"1256","鮮活控股股份有限公司","1st Floor,Windward 1,Regatta Office Park,P.O. Box 10338","	37759808","黃國晃","黃國晃","吳明憲","董事","吳金海","512-57515501","2010/01/12","2012/09/05",新台幣                 10.0000元,246960000,24696000,0,0,合併,"兆豐證券股份有限公司股務代理部","02-33930398","台北市忠孝東路二段95號1樓","勤業眾信聯合會計師事務所","謝明忠","陳慧銘","Sunjuice","1st Floor,Windward 1,Regatta Office Park,P.O. Box 10338Grand Cayman KY1-1003,Cayman Islands","512-57515503","XH@sunjuice.com.cn","http://www.myfreshjuice.com","http://www.myfreshjuice.com"
"1258","其祥生物科技控股有限公司","台北市中山區松江路51號8樓","	53028230","王其祥","王建山","王建山","總經理","游志宗","(02)2518-4933","2010/05/11","2011/12/12",新台幣 10.0000元,340000000,34000000,0,0,,"群益金鼎證券股務代理部","(02)2703-5000","臺北巿敦化南路2段97號B2","安永聯合會計師事務所","王彥鈞","林麗凰","Kee Song","8F., No.51, Songjiang Rd., Zhongshan Dist.Taipei City 104, Taiwan (R.O.C.)","(02)2503-4933","investor@keesong.com","http://keesongbiotech.com/",""
"1259","安心食品服務股份有限公司","台北市中山區松江路156-1號8樓","	23928945","黃茂雄","高順興","施啟寅","協理","何頎胤","(02)2567-5001","1990/11/23","2011/12/15",新台幣                 10.0000元,323895000,32389500,0,0,合併,"群益金鼎證券(股)公司股務代理部","(02)27023999","(106)台北市大安區敦化南路二段97號B2","資誠聯合會計師事務所","曾惠瑾","吳郁隆","AN-SHIN","8F.156-1,Sung Chiang RoadTaipei 104 R.O.C.","(02)2567-1692","ir@mos.com.tw","http://www.mos.com.tw","http://www.mos.com.tw/investWindow.php"
"1264","德麥食品股份有限公司","新北市五股區五權五路31號","	23420497","林雪嬌","吳文欽","邱俊榮","財務經理","賴素瑛","(02)2298-1347","1989/06/29","2015/04/09",新台幣                 10.0000元,306327000,30632700,0,0,合併,"富邦綜合證券(股)公司股務代理部","(02)2361-1300","台北市中正區許昌街17號2樓","勤業眾信聯合會計師事務所","張耿禧","虞成全","TEHMAG","No.31,Wuquan 5th Rd.,Wugu Dist.,New Taipei City,Taiwan,R.O.C.","(02)2298-2263","ir@tehmag.com.tw","http://www.tehmag.com.tw","http://www.tehmag.com.tw/webnews/view.php?sn=3548"
"1333","恩得利工業股份有限公司","新北市新莊區化成路203號","	84584513","林義雄","林有欽","林有欽","總經理","黃悌愷","(02)8993-1760","1993/10/16","2005/08/08",新台幣                 10.0000元,1025256250,102525625,0,0,合併,"中國信託商業銀行代理部","(02)6636-5566","台北市重慶南路1段83號6樓","勤業眾信聯合會計師事務所","郭文吉","曾棟鋆","Entery","No.203, Huacheng Rd., Xinzhuang Dist.,New Taipei City 242, Taiwan (R.O.C.)","(02)2990-0495","tikai.huang@entery.com.tw","www.entery.com.tw",""
"1336","台翰精密科技股份有限公司","新北市五股工業區五權六路十二號","	22589593","楊劍平","楊劍平","陳金鐘","總財會管理處 協理","彭俊鑫","02-22902258","1987/08/28","2007/11/02",新台幣                 10.0000元,627532300,62753230,0,0,合併,"永豐金證券(股)公司股務代理部","02-23816288","台北市中正區博愛路17號3樓","勤業眾信聯合會計師事務所","謝明忠","翁博仁","TAIHAN","NO.12, Wucyun 6th Rd.,Wugu Industrial Park,New Taipei City 248, Taiwan (R.O.C.)","02-22994848","jeff_chen@thpt.com.tw","www.thpt.com.tw",""
"1565","精華光學股份有限公司","新北市汐止區大同路一段276之2號4、5樓","	22195654","陳明賢","周育然","周華玲","稽核室副理","楊萬成","(02)8691-6000","1986/09/24","2004/03/30",新台幣                 10.0000元,504165160,50416516,0,0,合併,"元大寶來證券股務代理部","(02)2586-5859","台北市大同區承德路三段210號  B1","資誠聯合會計師事務所","廖阿甚","曾惠瑾","St.Shine　","4, 5F, No. 276-2, Sec. 1, Ta Tung Rd,,Hsi Chih Dist., New Taipei City, Taiwan","(02)2647-9369","s0505@stshine.com.tw","http://www.stshine.com.tw",""
"1566","捷邦國際科技股份有限公司","新竹縣關西鎮深坑子3-1號","	49733115","胡湘麒","胡湘麒","江碩彥","財務部協理","莊雅惠","03-5878575","1976/12/09","2011/01/12",新台幣                 10.0000元,668670280,66867028,0,0,合併,"中國信託商業銀行代理部","02-66365566","100台北市重慶南路1段83號5樓","勤業眾信聯合會計師事務所","陳錦章","蔡美貞","JaBon","No.3-1, Shenkengzi, Guanxi Township,Hsinchu County 306, Taiwan (R.O.C.)","03-5878595","jbon@jbon.com.tw","www.jbon.com.tw","www.jbon.com.tw"
"1569","濱川企業股份有限公司","高雄市大寮區大發工業區興業路二號","	76404919","蕭欽銘","蕭欽群","蕭欽群","總經理","李璠","07-7871521","1983/03/30","2005/07/29",新台幣                 10.0000元,937847450,93784745,0,0,合併,"富邦綜合證券股份有限公司","02-23611300","台北市中正區許昌街17號2樓","勤業眾信聯合會計師事務所","郭麗園","龔俊吉","Bin Chuan","2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung  Taiwan R.O.C","07-7871515","fan_lee@hamagawa.com","www.hamagawa.com","http://www.hamagawa.com/"
"1570","力肯實業股份有限公司","新北市八里區博物館路81號","	36253534","溫銘漢","溫銘漢","溫銘漢","董事長兼總經理","柯維祥","(02)2619-5619","1983/12/23","2005/06/30",新台幣 10.0000元,515008390,51500839,0,0,合併,"元富證券股份有限公司股務代理部","(02)2768-6668","105台北市松山區光復北路11巷35號B1","勤業眾信聯合會計師事務所","龔則立會計師","蔡宏祥會計師","De Poan","NO.81, MUSEUM ROADBa-Li District, New Taipei City, Taiwan","(02)2619-5618","wilson-ko@depoan.com","www.depoan.com",""
