1101,?░ц│е,TW0001101004,1962/2/9,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1102,ф║Юц│е,TW0001102002,1962/6/8,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1103,?Йц│е,TW0001103000,1969/11/14,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1104,?░ц│е,TW0001104008,1971/2/1,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1108,х╣╕ч?,TW0001108009,1990/6/6,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1109,ф┐бхдз,TW0001109007,1991/12/5,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1110,?▒ц│е,TW0001110005,1994/10/22,ф╕Кх?,ц░┤ц│ех╖ецен,ESVUFR
1201,?│хЕи,TW0001201002,1962/2/9,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1203,?│ч?,TW0001203008,1964/8/24,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1210,хдзц?,TW0001210003,1978/5/20,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1213,хдзщг▓,TW0001213007,1981/4/10,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1215,?Ьш?,TW0001215002,1987/7/27,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1216,ч╡▒ф?,TW0001216000,1987/12/28,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1217,?Ыф???TW0001217008,1989/10/28,ф╕Кх?,щгЯх?х╖ецен,ESVUFR,
1218,ц│░х▒▒,TW0001218006,1989/11/11,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1219,чжПхг╜,TW0001219004,1990/12/1,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1220,?░цжо,TW0001220002,1991/11/20,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1225,чжПц?ц▓?TW0001225001,1993/9/27,ф╕Кх?,щгЯх?х╖ецен,ESVUFR,
1227,ф╜│ца╝,TW0001227007,1994/4/9,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1229,?пшПп,TW0001229003,1976/7/19,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1231,?пшПпщг?TW0001231009,1995/11/2,ф╕Кх?,щгЯх?х╖ецен,ESVUFR,
1232,хдзч╡▒??TW0001232007,1996/2/9,ф╕Кх?,щгЯх?х╖ецен,ESVUFR,
1233,хдйф?,TW0001233005,1999/1/20,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1234,щ╗СцЭ╛,TW0001234003,1999/3/12,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1235,?Иц│░,TW0001235000,2000/9/11,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1236,хоПф?,TW0001236008,2001/9/17,ф╕Кх?,щгЯх?х╖ецен,ESVUFR
1262,F-ч╢ац?,KYG409711069,2014/1/16,ф╕Кх?,?╢ф?це?ESVUFR,
1301,?░х?,TW0001301000,1964/7/27,ф╕Кх?,хбСш?х╖ецен,ESVUFR
1303,?Чф?,TW0001303006,1967/11/5,ф╕Кх?,хбСш?х╖ецен,ESVUFR
1304,?░ш?,TW0001304004,1972/5/20,ф╕Кх?,хбСш?х╖ецен,ESVUFR
1305,?пх?,TW0001305001,1973/3/5,ф╕Кх?,хбСш?х╖ецен,ESVUFR
1307,ф╕ЙшК│,TW0001307007,1985/11/23,ф╕Кх?,хбСш?х╖ецен,ESVUFR
1308,ф║Юш?,TW0001308005,1986/6/20,ф╕Кх?,хбСш?х╖ецен,ESVUFR
1309,?░щ???TW0001309003,1986/6/27,ф╕Кх?,хбСш?х╖ецен,ESVUFR,
1310,?░шЛп,TW0001310001,1987/8/6,ф╕Кх?,хбСш?х╖ецен,ESVUFR
